Time,SumValue
"13/08/2022, 07:15",3.295260906
"13/08/2022, 07:30",3.117731928
"13/08/2022, 07:45",6.745257854
"13/08/2022, 08:00",6.115631938
"13/08/2022, 08:15",6.347927808
"13/08/2022, 08:30",8.382891178
"13/08/2022, 08:45",2.815916062
"13/08/2022, 09:00",8.654018163
"13/08/2022, 09:15",8.654018163
"13/08/2022, 09:30",3.28421998
"13/08/2022, 09:45",0.988285005
"13/08/2022, 10:00",6.251560926
"13/08/2022, 10:15",3.494201899
"13/08/2022, 10:30",3.494201899
"13/08/2022, 10:45",2.898905993
"13/08/2022, 11:00",2.238852024
"13/08/2022, 11:15",1.765498042
"13/08/2022, 11:30",9.234437943
"13/08/2022, 11:45",1.854496002
"13/08/2022, 12:00",1.212159991
"13/08/2022, 12:15",0.513648987
"13/08/2022, 12:30",6.144488811
"13/08/2022, 12:45",2.414047956
"13/08/2022, 13:00",0.65051198
"13/08/2022, 13:15",0.897229016
"13/08/2022, 13:30",-0.227307007
"13/08/2022, 13:45",1.99494195
"13/08/2022, 14:00",4.010110974
"13/08/2022, 14:15",4.010110974
"13/08/2022, 14:30",1.434512019
"13/08/2022, 14:45",2.131042004
"13/08/2022, 15:00",1.279665009
"13/08/2022, 15:15",5.768462181
"13/08/2022, 15:30",1.35186398
"13/08/2022, 15:45",7.226264
"13/08/2022, 16:00",3.496323943
"13/08/2022, 16:15",3.049911976
"13/08/2022, 16:30",1.174980998
"13/08/2022, 16:45",6.112242162
"13/08/2022, 17:00",8.543808102
"13/08/2022, 17:15",5.979468942
"13/08/2022, 17:30",6.081120848
"13/08/2022, 17:45",1.602767036
"13/08/2022, 18:00",1.340624973
"13/08/2022, 18:15",5.740902186
"13/08/2022, 18:30",6.933291078
"13/08/2022, 18:45",1.983642071
"13/08/2022, 19:00",6.444537878
"13/08/2022, 19:15",6.444537878
"13/08/2022, 19:30",4.825137139
"13/08/2022, 19:45",1.871167034
"13/08/2022, 20:00",2.049026012
"13/08/2022, 20:15",1.214717984
"13/08/2022, 20:30",-0.177529037
"13/08/2022, 20:45",-0.251896977
"13/08/2022, 21:00",-0.716552079
"13/08/2022, 21:15",7.940005839
"13/08/2022, 21:30",0.28056103
"13/08/2022, 21:45",-0.962970972
"13/08/2022, 22:00",-0.403729975
"13/08/2022, 22:15",1.443947971
"13/08/2022, 22:30",2.170054078
"13/08/2022, 22:45",4.224407077
"13/08/2022, 23:00",-0.134153962
