Time,actual,predicted,error,0-11,Nov-21,21-31,31-41,41-51,51 and more
"01/09/2022, 18:45",5.250620842,6.091554165,16.01588361,0,1,0,0,0,0
"01/09/2022, 19:00",5.250620842,4.943379223,5.851529334,1,0,0,0,0,0
"01/09/2022, 19:15",5.620141029,6.055973184,7.754825954,1,0,0,0,0,0
"01/09/2022, 19:30",6.844583988,4.527761301,33.848992,0,0,0,1,0,0
"01/09/2022, 19:45",0.811227024,5.769127965,611.1607225,0,0,0,0,0,1
"01/09/2022, 20:00",6.812403202,5.830739951,14.40994054,0,1,0,0,0,0
"01/09/2022, 20:15",8.096382141,5.168992877,36.15675759,0,0,0,1,0,0
"01/09/2022, 20:30",3.394635916,5.993959713,76.57150462,0,0,0,0,0,1
"01/09/2022, 20:45",5.542485237,3.751509041,32.31359435,0,0,0,1,0,0
"01/09/2022, 21:00",5.468915939,3.967857862,27.4470863,0,0,1,0,0,0
"01/09/2022, 21:15",4.631134987,3.429721373,25.9420988,0,0,1,0,0,0
"01/09/2022, 21:30",6.418685913,3.631034243,43.43025516,0,0,0,0,1,0
"01/09/2022, 21:45",6.061017036,3.346849682,44.78072472,0,0,0,0,1,0
"01/09/2022, 22:00",6.400338173,4.580128223,28.43927775,0,0,1,0,0,0
"01/09/2022, 22:15",2.396787882,3.374039912,40.773405,0,0,0,1,0,0
"01/09/2022, 22:30",4.812107086,6.217885685,29.21336899,0,0,1,0,0,0
"01/09/2022, 22:45",2.855345011,5.632475811,97.26077898,0,0,0,0,0,1
"01/09/2022, 23:00",3.29836607,5.96902616,80.96918394,0,0,0,0,0,1
"01/09/2022, 23:15",2.180421114,4.655142147,113.497389,0,0,0,0,0,1
"01/09/2022, 23:30",3.025490046,3.505619374,15.86947306,0,1,0,0,0,0
"01/09/2022, 23:45",2.281441927,3.695736057,61.99123953,0,0,0,0,0,1
"02/09/2022, 00:00",3.216131926,2.148869229,33.18466784,0,0,0,1,0,0
"02/09/2022, 00:15",1.417271018,2.582431054,82.21151926,0,0,0,0,0,1
"02/09/2022, 00:30",1.494212031,1.516764086,1.509294192,1,0,0,0,0,0
"02/09/2022, 00:45",1.253517985,1.352437456,7.891348368,1,0,0,0,0,0
"02/09/2022, 01:00",1.509220004,1.416768767,6.125762752,1,0,0,0,0,0
"02/09/2022, 01:15",1.196382999,1.34139809,12.12112604,0,1,0,0,0,0
"02/09/2022, 01:30",1.126139998,1.33206404,18.28582969,0,1,0,0,0,0
"02/09/2022, 01:45",1.212285042,1.317767207,8.701102579,1,0,0,0,0,0
"02/09/2022, 02:00",1.511132956,1.235075799,18.26822427,0,1,0,0,0,0
"02/09/2022, 02:15",1.444087029,1.411483803,2.257705038,1,0,0,0,0,0
"02/09/2022, 02:30",1.52986002,1.286206022,15.92655503,0,1,0,0,0,0
"02/09/2022, 02:45",1.192667007,1.228403882,2.996383327,1,0,0,0,0,0
"02/09/2022, 03:00",1.521720052,1.350538847,11.24919166,0,1,0,0,0,0
"02/09/2022, 03:15",1.688102007,1.441705,14.59609702,0,1,0,0,0,0
"02/09/2022, 03:30",1.458546996,1.302933656,10.66906587,1,0,0,0,0,0
"02/09/2022, 03:45",1.449941039,1.453212187,0.225605619,1,0,0,0,0,0
"02/09/2022, 04:00",1.404145002,1.534416288,9.277623459,1,0,0,0,0,0
"02/09/2022, 04:15",1.423549056,1.29908998,8.742872307,1,0,0,0,0,0
"02/09/2022, 04:30",1.362472057,1.273880536,6.502263323,1,0,0,0,0,0
"02/09/2022, 04:45",1.81399703,1.697577897,6.41782381,1,0,0,0,0,0
"02/09/2022, 05:00",2.336199999,2.4181914,3.509605391,1,0,0,0,0,0
"02/09/2022, 05:15",2.504288912,2.199427515,12.17357133,0,1,0,0,0,0
"02/09/2022, 05:30",2.952421904,2.699292385,8.573622833,1,0,0,0,0,0
"02/09/2022, 05:45",0.818849981,3.96946153,384.7605328,0,0,0,0,0,1
"02/09/2022, 06:00",-0.71122998,3.936648315,-653.4986469,0,0,0,0,0,1
"02/09/2022, 06:15",7.65796423,3.650896111,52.3255006,0,0,0,0,0,1
"02/09/2022, 06:30",-0.420841992,2.79043017,-763.0588733,0,0,0,0,0,1
"02/09/2022, 06:45",3.825217009,4.093268651,7.007488493,1,0,0,0,0,0
"02/09/2022, 07:00",3.852391005,3.799333232,1.377268641,1,0,0,0,0,0
"02/09/2022, 07:15",8.888220787,4.646758226,47.72004052,0,0,0,0,1,0
"02/09/2022, 07:30",1.802912951,5.53585715,207.0507174,0,0,0,0,0,1
"02/09/2022, 07:45",6.419631958,4.392519512,31.57677043,0,0,0,1,0,0
"02/09/2022, 08:00",6.753520012,5.79544599,14.18629129,0,1,0,0,0,0
"02/09/2022, 08:15",0.447319001,4.84697113,983.5603047,0,0,0,0,0,1
"02/09/2022, 08:30",3.503859997,3.550415289,1.328685859,1,0,0,0,0,0
"02/09/2022, 08:45",4.925205231,5.264359558,6.886095317,1,0,0,0,0,0
"02/09/2022, 09:00",3.095361948,3.655158219,18.08500202,0,1,0,0,0,0
"02/09/2022, 09:15",4.568861008,5.589745754,22.34440366,0,0,1,0,0,0
"02/09/2022, 09:30",2.353019953,5.08583453,116.1407311,0,0,0,0,0,1
"02/09/2022, 09:45",9.114611626,4.709164601,48.33389732,0,0,0,0,1,0
"02/09/2022, 10:00",6.009471893,3.255665517,45.82443225,0,0,0,0,1,0
"02/09/2022, 10:15",4.624711037,4.415378082,4.526400754,1,0,0,0,0,0
"02/09/2022, 10:30",6.211541176,5.234916866,15.72273744,0,1,0,0,0,0
